date,sales,lag_1,lag_7,rolling_mean_7
2013-01-08,5200,5100,4950,5025.0
2013-01-09,5300,5200,5000,5057.1
2013-01-10,5450,5300,5050,5098.6
2013-01-11,5600,5450,5100,5135.7
2013-01-12,5500,5600,5150,5168.2
2013-01-13,5400,5500,5200,5185.4
2013-01-14,5350,5400,5250,5200.0
2013-01-15,5250,5350,5100,5210.7
2013-01-16,5300,5250,5200,5235.7
2013-01-17,5400,5300,5300,5264.3
2013-01-18,5500,5400,5350,5292.9
2013-01-19,5600,5500,5400,5328.6
2013-01-20,5700,5600,5450,5364.3
2013-01-21,5650,5700,5500,5400.0
2013-01-22,5600,5650,5550,5435.7
2013-01-23,5580,5600,5600,5462.9
2013-01-24,5550,5580,5650,5482.9
2013-01-25,5530,5550,5700,5500.0
2013-01-26,5500,5530,5750,5517.1
2013-01-27,5480,5500,5800,5530.0
2013-01-28,5450,5480,5850,5540.0
2013-01-29,5400,5450,5900,5538.6
2013-01-30,5380,5400,5950,5530.0
2013-01-31,5350,5380,6000,5518.6
2013-02-01,5300,5350,6050,5500.0
2013-02-02,5280,5300,6100,5482.9
2013-02-03,5250,5280,6150,5462.9
2013-02-04,5200,5250,6200,5435.7
2013-02-05,5180,5200,6250,5408.6
2013-02-06,5150,5180,6300,5380.0
2013-02-07,5100,5150,6350,5348.6
2013-02-08,5200,5100,6400,5320.0
2013-02-09,5300,5200,6450,5300.0
2013-02-10,5400,5300,6500,5285.7
2013-02-11,5500,5400,6550,5282.9
2013-02-12,5600,5500,6600,5290.0
2013-02-13,5700,5600,6650,5305.7
2013-02-14,5800,5700,6700,5328.6
2013-02-15,5900,5800,6750,5357.1
2013-02-16,6000,5900,6800,5392.9
2013-02-17,6100,6000,6850,5435.7
2013-02-18,6200,6100,6900,5485.7
2013-02-19,6300,6200,6950,5538.6
2013-02-20,6400,6300,7000,5598.6
2013-02-21,6350,6400,7050,5650.0
2013-02-22,6300,6350,7100,5692.9
2013-02-23,6250,6300,7150,5728.6
2013-02-24,6200,6250,7200,5757.1
2013-02-25,6150,6200,7250,5778.6
2013-02-26,6100,6150,7300,5792.9
2013-02-27,6050,6100,7350,5800.0
2013-02-28,6000,6050,7400,5800.0
2013-03-01,5950,6000,7450,5792.9
2013-03-02,5900,5950,7500,5778.6
2013-03-03,5850,5900,7550,5757.1
2013-03-04,5800,5850,7600,5728.6
2013-03-05,5750,5800,7650,5692.9
2013-03-06,5700,5750,7700,5650.0
2013-03-07,5650,5700,7750,5598.6
2013-03-08,5600,5650,7800,5538.6
2013-03-09,5550,5600,7850,5485.7
2013-03-10,5500,5550,7900,5435.7
2013-03-11,5450,5500,7950,5385.7
2013-03-12,5400,5450,8000,5335.7
2013-03-13,5350,5400,8050,5285.7
2013-03-14,5300,5350,8100,5235.7
2013-03-15,5250,5300,8150,5185.7
2013-03-16,5200,5250,8200,5135.7
2013-03-17,5150,5200,8250,5085.7
2013-03-18,5100,5150,8300,5035.7
2013-03-19,5050,5100,8350,4985.7
2013-03-20,5000,5050,8400,4935.7
2013-03-21,4950,5000,8450,4885.7
2013-03-22,4900,4950,8500,4835.7
2013-03-23,4850,4900,8550,4785.7
2013-03-24,4800,4850,8600,4735.7
2013-03-25,4750,4800,8650,4685.7
2013-03-26,4700,4750,8700,4635.7
2013-03-27,4650,4700,8750,4585.7
2013-03-28,4600,4650,8800,4535.7
2013-03-29,4550,4600,8850,4485.7
2013-03-30,4500,4550,8900,4435.7
2013-03-31,4450,4500,8950,4385.7
2013-04-01,4400,4450,9000,4335.7
2013-04-02,4350,4400,9050,4285.7
2013-04-03,4300,4350,9100,4235.7
2013-04-04,4250,4300,9150,4185.7
2013-04-05,4200,4250,9200,4135.7
2013-04-06,4150,4200,9250,4085.7
2013-04-07,4100,4150,9300,4035.7
2013-04-08,4050,4100,9350,3985.7
2013-04-09,4000,4050,9400,3935.7
2013-04-10,3950,4000,9450,3885.7
